matchid,Players,BattingOrder,inning_bat,Bat_Bowler,Bat_Dismissal,Bat_Runs,4s,6s,Ball Faced,Dots,BattingTeam,inning_bowl,Over,Runs,Wicket,Maiden,extra,fowRuns,wicketNumber,fowOver
1000851,SC Cook,1,1,MA Starc,caught,0,0,0,4,4,South Africa,2,,,,,,0,1,0.4
1000851,HM Amla,2,1,JR Hazlewood,caught,0,0,0,5,5,South Africa,2,,,,,,5,2,3.1
1000851,D Elgar,3,1,JR Hazlewood,caught,12,2,0,22,16,South Africa,2,,,,,,20,3,7.6
1000851,JP Duminy,4,1,PM Siddle,caught,11,0,0,23,18,South Africa,2,,,,,,32,4,12.2
1000851,F du Plessis,5,1,MA Starc,caught,37,5,0,74,57,South Africa,2,,,,,,81,5,27.6
1000851,T Bavuma,6,1,NM Lyon,caught,51,7,0,86,63,South Africa,2,,,,,,152,6,43.4
1000851,Q de Kock,7,1,JR Hazlewood,caught,84,11,1,100,65,South Africa,2,,,,,,227,9,60.6
1000851,VD Philander,8,1,MA Starc,bowled,10,1,0,32,25,South Africa,2,19.3,53,4,2,3,175,7,52.3
1000851,KA Maharaj,9,1,NM Lyon,caught,16,1,1,19,14,South Africa,2,19,56,3,5,0,223,8,59.6
1000851,K Rabada,10,1,-,not out,11,2,0,12,7,South Africa,2,20,76,2,1,5,,,
1000851,DW Steyn,11,1,MA Starc,bowled,4,1,0,4,3,South Africa,2,13,51,1,3,0,242,10,63.4
1000851,DA Warner,1,2,DW Steyn,caught,97,16,1,96,59,Australia,1,,,,,,158,1,35.2
1000851,SE Marsh,2,2,VD Philander,lbw,63,8,0,146,119,Australia,1,,,,,,181,4,46.5
1000851,UT Khawaja,3,2,K Rabada,bowled,4,0,0,17,15,Australia,1,,,,,,167,2,40.4
1000851,SPD Smith,4,2,KA Maharaj,lbw,0,0,0,4,4,Australia,1,,,,,,168,3,41.3
1000851,AC Voges,5,2,K Rabada,caught and bowled,27,4,0,60,49,Australia,1,,,,,,202,6,60.6
1000851,MR Marsh,6,2,VD Philander,lbw,0,0,0,8,8,Australia,1,6,23,0,1,0,181,5,50.1
1000851,PM Nevill,7,2,KA Maharaj,caught,23,2,1,53,41,Australia,1,,,,,,232,8,67.5
1000851,MA Starc,8,2,KA Maharaj,caught,0,0,0,5,5,Australia,1,18.4,69,4,2,2,203,7,61.6
1000851,PM Siddle,9,2,-,not out,18,3,0,25,19,Australia,1,12,36,1,3,0,,,
1000851,JR Hazlewood,10,2,VD Philander,caught,4,0,0,5,3,Australia,1,17,70,3,1,4,243,9,70.1
1000851,NM Lyon,11,2,VD Philander,caught,0,0,0,1,2,Australia,1,10,38,2,1,0,244,10,70.3
1000851,SC Cook,1,3,PM Siddle,caught,12,2,0,54,51,South Africa,4,2,16,0,0,0,35,1,16.4
1000851,D Elgar,2,3,JR Hazlewood,caught,127,17,1,310,258,South Africa,4,,,,,,324,4,106.3
1000851,HM Amla,3,3,JR Hazlewood,bowled,1,0,0,7,6,South Africa,4,,,,,,45,2,20.1
1000851,JP Duminy,4,3,PM Siddle,caught,141,20,1,224,165,South Africa,4,17,51,1,1,1,295,3,94.3
1000851,F du Plessis,5,3,MA Starc,caught,32,6,0,64,52,South Africa,4,,,,,,352,6,115.4
1000851,T Bavuma,6,3,MR Marsh,caught,8,2,0,18,16,South Africa,4,7,27,1,0,10,346,5,112.3
1000851,Q de Kock,7,3,MR Marsh,caught,64,5,2,99,68,South Africa,4,,,,,,468,7,146.1
1000851,VD Philander,8,3,SPD Smith,bowled,73,10,2,142,113,South Africa,4,22,55,1,7,0,540,8,160.1
1000851,KA Maharaj,9,3,-,not out,41,2,3,32,20,South Africa,4,40.1,93,1,9,10,,,
1000851,K Rabada,DNB,3,-,DNB,,,,,,South Africa,4,31,89,6,6,9,,,
1000851,SE Marsh,1,4,K Rabada,caught,15,1,0,45,38,Australia,3,,,,,,52,2,12.6
1000851,DA Warner,2,4,K Rabada,run out,35,6,0,32,19,Australia,3,,,,,,52,1,12.2
1000851,UT Khawaja,3,4,JP Duminy,lbw,97,11,3,178,141,Australia,3,,,,,,246,6,76.1
1000851,SPD Smith,4,4,K Rabada,caught,34,5,0,89,77,Australia,3,1.1,3,1,0,0,144,3,44.3
1000851,AC Voges,5,4,K Rabada,caught,1,0,0,12,11,Australia,3,5,8,0,1,1,146,4,46.5
1000851,MR Marsh,6,4,K Rabada,lbw,26,4,0,51,41,Australia,3,26,65,2,4,17,196,5,62.4
1000851,PM Nevill,7,4,-,not out,60,6,0,152,124,Australia,3,,,,,,,,
1000851,MA Starc,8,4,K Rabada,lbw,13,2,0,24,17,Australia,3,31,109,1,7,12,262,7,82.5
1000851,PM Siddle,9,4,VD Philander,lbw,13,3,0,32,28,Australia,3,26,62,2,9,0,280,8,92.5
1000851,JR Hazlewood,10,4,T Bavuma,caught,29,5,0,69,59,Australia,3,37,106,2,10,6,345,9,113.3
