,matchid,gender,match_number,season,team1,team2,date1,date2,date3,date4,date5,umpire1,umpire2,series,competition,venue,city,toss_winner,toss_decision,player_of_match,reserve_umpire,tv_umpire,match_referee,outcome,method,neutralvenue,winner,winner_runs,winner_wickets
0,1000851,male,1,2016/17,Australia,South Africa,2016/11/03,2016/11/04,2016/11/05,2016/11/06,2016/11/07,Aleem Dar,NJ Llong,South Africa in Australia Test Series,,Western Australia Cricket Association Ground,Perth,South Africa,bat,K Rabada,SJ Nogajski,RA Kettleborough,AJ Pycroft,,,,South Africa,177,
1,1000853,male,2,2016/17,Australia,South Africa,2016/11/12,2016/11/13,2016/11/14,2016/11/15,,Aleem Dar,RA Kettleborough,South Africa in Australia Test Series,,Bellerive Oval,Hobart,South Africa,field,KJ Abbott,MD Martell,NJ Llong,AJ Pycroft,,,,South Africa,80,
2,1000855,male,3,2016/17,Australia,South Africa,2016/11/24,2016/11/25,2016/11/26,2016/11/27,,RA Kettleborough,NJ Llong,South Africa in Australia Test Series,,Adelaide Oval,,South Africa,bat,UT Khawaja,P Wilson,Aleem Dar,AJ Pycroft,,,,Australia,,7
3,1000881,male,1,2016/17,Australia,Pakistan,2016/12/15,2016/12/16,2016/12/17,2016/12/18,2016/12/19,IJ Gould,RK Illingworth,Pakistan in Australia Test Series,,"Brisbane Cricket Ground, Woolloongabba",Brisbane,Australia,bat,Asad Shafiq,MD Martell,S Ravi,RS Madugalle,,,,Australia,39,
4,1000883,male,2,2016/17,Australia,Pakistan,2016/12/26,2016/12/27,2016/12/28,2016/12/29,2016/12/30,IJ Gould,S Ravi,Pakistan in Australia Test Series,,Melbourne Cricket Ground,,Pakistan,bat,SPD Smith,SJ Nogajski,RK Illingworth,RS Madugalle,,,,Australia,18,
5,1000885,male,3,2016/17,Australia,Pakistan,2017/01/03,2017/01/04,2017/01/05,2017/01/06,2017/01/07,RK Illingworth,S Ravi,Pakistan in Australia Test Series,,Sydney Cricket Ground,,Australia,bat,DA Warner,P Wilson,IJ Gould,RS Madugalle,,,,Australia,220,
6,1004251,male,,2016/17,Papua New Guinea,Namibia,2016/10/16,2016/10/17,2016/10/18,2016/10/19,,CM Brown,L Oala,,"ICC Intercontinental Cup, 2015-2016/17",Amini Park,Port Moresby,Papua New Guinea,bat,,,,SR Bernard,,,,Papua New Guinea,199,
7,1019985,male,1,2016/17,New Zealand,Bangladesh,2017/01/12,2017/01/13,2017/01/14,2017/01/15,2017/01/16,M Erasmus,PR Reiffel,Bangladesh in New Zealand Test Series,,Basin Reserve,Wellington,New Zealand,field,TWM Latham,CM Brown,NJ Llong,J Srinath,,,,New Zealand,,7
8,1019987,male,2,2016/17,New Zealand,Bangladesh,2017/01/20,2017/01/21,2017/01/22,2017/01/23,,NJ Llong,PR Reiffel,Bangladesh in New Zealand Test Series,,Hagley Oval,Christchurch,New Zealand,field,TG Southee,SB Haig,M Erasmus,J Srinath,,,,New Zealand,,9
9,1019993,male,1,2016/17,New Zealand,Pakistan,2016/11/17,2016/11/18,2016/11/19,2016/11/20,,IJ Gould,S Ravi,Pakistan in New Zealand Test Series,,Hagley Oval,Christchurch,New Zealand,field,C de Grandhomme,SB Haig,SD Fry,RB Richardson,,,,New Zealand,,8
10,1019995,male,2,2016/17,New Zealand,Pakistan,2016/11/25,2016/11/26,2016/11/27,2016/11/28,2016/11/29,SD Fry,S Ravi,Pakistan in New Zealand Test Series,,Seddon Park,Hamilton,Pakistan,field,TG Southee,SB Haig,IJ Gould,RB Richardson,,,,New Zealand,138,
11,1020041,male,1,2016/17,New Zealand,South Africa,2017/03/08,2017/03/09,2017/03/10,2017/03/11,2017/03/12,HDPK Dharmasena,BNJ Oxenford,South Africa in New Zealand Test Series,,University Oval,Dunedin,South Africa,bat,D Elgar,SB Haig,RJ Tucker,DC Boon,draw,,,,,
12,1020043,male,2,2016/17,New Zealand,South Africa,2017/03/16,2017/03/17,2017/03/18,,,HDPK Dharmasena,RJ Tucker,South Africa in New Zealand Test Series,,Basin Reserve,Wellington,South Africa,field,KA Maharaj,,BNJ Oxenford,DC Boon,,,,South Africa,,8
13,1020045,male,3,2016/17,New Zealand,South Africa,2017/03/25,2017/03/26,2017/03/27,2017/03/28,2017/03/29,BNJ Oxenford,RJ Tucker,South Africa in New Zealand Test Series,,Seddon Park,Hamilton,South Africa,bat,KS Williamson,CM Brown,HDPK Dharmasena,DC Boon,draw,,,,,
14,1022593,male,1,2016,West Indies,India,2016/07/21,2016/07/22,2016/07/23,2016/07/24,,Aleem Dar,IJ Gould,India in West Indies Test Series,,"Sir Vivian Richards Stadium, North Sound",Antigua,India,bat,R Ashwin,N Duguid,GO Brathwaite,RS Madugalle,,,,India,92,
15,1022595,male,2,2016,West Indies,India,2016/07/30,2016/07/31,2016/08/01,2016/08/02,2016/08/03,Aleem Dar,IJ Gould,India in West Indies Test Series,,"Sabina Park, Kingston",Jamaica,West Indies,bat,RL Chase,GO Brathwaite,N Duguid,RS Madugalle,draw,,,,,
16,1022597,male,3,2016,West Indies,India,2016/08/09,2016/08/10,2016/08/11,2016/08/12,2016/08/13,NJ Llong,RJ Tucker,India in West Indies Test Series,,"Darren Sammy National Cricket Stadium, Gros Islet",St Lucia,West Indies,field,R Ashwin,N Duguid,GO Brathwaite,RS Madugalle,,,,India,237,
17,1022599,male,4,2016,West Indies,India,2016/08/18,2016/08/19,2016/08/20,2016/08/21,2016/08/22,NJ Llong,RJ Tucker,India in West Indies Test Series,,"Queen's Park Oval, Port of Spain",Trinidad,West Indies,bat,,GO Brathwaite,N Duguid,RS Madugalle,draw,,,,,
18,1024041,male,1,2016,Zimbabwe,New Zealand,2016/07/28,2016/07/29,2016/07/30,2016/07/31,,MA Gough,PR Reiffel,New Zealand in Zimbabwe Test Series,,Queens Sports Club,Bulawayo,Zimbabwe,bat,LRPL Taylor,RB Tiffin,L Rusere,DC Boon,,,,New Zealand,117,
19,1024043,male,2,2016,Zimbabwe,New Zealand,2016/08/06,2016/08/07,2016/08/08,2016/08/09,2016/08/10,MA Gough,PR Reiffel,New Zealand in Zimbabwe Test Series,,Queens Sports Club,Bulawayo,New Zealand,bat,KS Williamson,L Rusere,TJ Matibiri,DC Boon,,,,New Zealand,254,
20,1029825,male,1,2016/17,Bangladesh,England,2016/10/20,2016/10/21,2016/10/22,2016/10/23,2016/10/24,HDPK Dharmasena,CB Gaffaney,England in Bangladesh Test Series,,Zahur Ahmed Chowdhury Stadium,Chittagong,England,bat,BA Stokes,Sharfuddoula,S Ravi,RS Madugalle,,,,England,22,
21,1029827,male,2,2016/17,Bangladesh,England,2016/10/28,2016/10/29,2016/10/30,,,HDPK Dharmasena,S Ravi,England in Bangladesh Test Series,,Shere Bangla National Stadium,Mirpur,Bangladesh,bat,Mehedi Hasan Miraz,Anisur Rahman,CB Gaffaney,RS Madugalle,,,,Bangladesh,108,
22,1030213,male,1,2016/17,India,New Zealand,2016/09/22,2016/09/23,2016/09/24,2016/09/25,2016/09/26,RA Kettleborough,RJ Tucker,New Zealand in India Test Series,,Green Park,Kanpur,India,bat,RA Jadeja,CK Nandan,AK Chaudhary,DC Boon,,,,India,197,
23,1030215,male,2,2016/17,India,New Zealand,2016/09/30,2016/10/01,2016/10/02,2016/10/03,,RA Kettleborough,RJ Tucker,New Zealand in India Test Series,,Eden Gardens,Kolkata,India,bat,WP Saha,Nitin Menon,CK Nandan,DC Boon,,,,India,178,
24,1030217,male,3,2016/17,India,New Zealand,2016/10/08,2016/10/09,2016/10/10,2016/10/11,,HDPK Dharmasena,BNJ Oxenford,New Zealand in India Test Series,,Holkar Cricket Stadium,Indore,India,bat,R Ashwin,Nitin Menon,C Shamshuddin,DC Boon,,,,India,321,
25,1031437,male,1,2017,England,South Africa,2017/07/06,2017/07/07,2017/07/08,2017/07/09,,S Ravi,PR Reiffel,Basil D'Oliveira Trophy,,Lord's,London,England,bat,MM Ali,RT Robinson,SD Fry,JJ Crowe,,,,England,211,
26,1034809,male,1,2016/17,India,England,2016/11/09,2016/11/10,2016/11/11,2016/11/12,2016/11/13,HDPK Dharmasena,CB Gaffaney,England in India Test Series,,Saurashtra Cricket Association Stadium,Rajkot,England,bat,MM Ali,CK Nandan,RJ Tucker,RS Madugalle,draw,,,,,
27,1034811,male,2,2016/17,India,England,2016/11/17,2016/11/18,2016/11/19,2016/11/20,2016/11/21,HDPK Dharmasena,RJ Tucker,England in India Test Series,,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Visakhapatnam,India,bat,V Kohli,CK Nandan,CB Gaffaney,RS Madugalle,,,,India,246,
28,1034813,male,3,2016/17,India,England,2016/11/26,2016/11/27,2016/11/28,2016/11/29,,M Erasmus,CB Gaffaney,England in India Test Series,,"Punjab Cricket Association IS Bindra Stadium, Mohali",Chandigarh,England,bat,RA Jadeja,CK Nandan,HDPK Dharmasena,RS Madugalle,,,,India,,8
29,1034815,male,4,2016/17,India,England,2016/12/08,2016/12/09,2016/12/10,2016/12/11,2016/12/12,M Erasmus,BNJ Oxenford,PR Reiffel,,Wankhede Stadium,Mumbai,England,bat,V Kohli,Nitin Menon,C Shamshuddin,JJ Crowe,,,,India,36,
30,1034817,male,5,2016/17,India,England,2016/12/16,2016/12/17,2016/12/18,2016/12/19,2016/12/20,M Erasmus,SD Fry,England in India Test Series,,"MA Chidambaram Stadium, Chepauk",Chennai,England,bat,KK Nair,Nitin Menon,BNJ Oxenford,JJ Crowe,,,,India,75,
31,1041761,male,,2016/17,India,Bangladesh,2017/02/09,2017/02/10,2017/02/11,2017/02/12,2017/02/13,M Erasmus,JS Wilson,,,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,India,bat,V Kohli,Nitin Menon,CB Gaffaney,AJ Pycroft,,,,India,208,
